transition,emotion_pair,theta_drift,alpha_drift,beta_drift,gamma_drift,thetaZ_drift
1->3,Fear->Fear,0.0010880785828648893,0.0027081614670964554,0.00029408906140860616,0.00034843658488793527,0.0018438937361935832
1->3,Fear->Sad,0.0007203405301964376,0.002974526093626688,0.00041242473255827353,0.0003327698522155105,0.0007295964174520442
1->3,Fear->Neutral,0.000216876157535615,0.0024695733933017363,0.0005254920890546098,0.00046115707940424784,0.0003419903015980358
1->3,Fear->Happy,0.0010195191189362515,0.0013422964661444082,0.0009198368354440016,0.0011577062331626202,0.0013119858424580928
1->3,Sad->Disgust,0.002139247075235846,0.0006913896509180787,0.001475698806523756,0.0016329047356959156,0.0033597132387010384
1->3,Sad->Fear,0.0032628686053155984,0.0012384058678263747,0.0008997367177900328,0.0011704322242890215,0.004996115520935326
1->3,Sad->Sad,0.0015259413027967812,0.0015047704943566072,0.0008326288749743773,0.000515703413369593,0.0026325656301551042
1->3,Sad->Neutral,0.0019579138649150943,0.0009998177940316554,0.0005575491187326772,0.00042727683939950393,0.0033679826425425906
1->3,Sad->Happy,0.002013976249903015,0.0002647715096510819,0.0015254844918254282,0.0019797018725637066,0.0034939120721449515
1->3,Neutral->Disgust,0.0008694772447343478,0.0006350663924706155,0.0016479307719695143,0.0016284298577593785,0.0012131305940393828
1->3,Neutral->Fear,0.0011779546545427622,0.0015895653038242384,0.0010719686832357908,0.001165957346352484,0.0018234387428623176
1->3,Neutral->Sad,0.0010079891979193456,0.0018559299303544708,0.0010048608404201356,0.00050126513911557,0.0010663586716259104
1->3,Neutral->Neutral,0.00044104562633890017,0.001350977230029519,0.0007208315510786793,0.00036401912005444787,0.0004506426112731492
1->3,Neutral->Happy,0.001133283015085327,0.0002835495624581661,0.0016977164572711863,0.001975226994627169,0.0013407218096786575
1->3,Happy->Disgust,0.0012770726460088078,0.0009559263046149761,0.0005436758058601337,0.0004242929723800644,0.0017964502279174247
1->3,Happy->Fear,0.002178441671906053,0.0018259432896128032,9.862538802197853e-05,0.0002815461898330837,0.003298938416517234
1->3,Happy->Sad,0.0016018806855267738,0.002092307916143036,0.00021424579036878472,0.000702871746263744,0.0022107680152938175
1->3,Happy->Neutral,0.0011896454066614623,0.0015873552158180843,0.0004619845844556558,0.0008401177653248662,0.0019110917424978037
1->3,Happy->Happy,0.0009974401734200705,0.0006482421535462772,0.0005934614911618059,0.0007710901092478549,0.0017967349677268593
